items,Items_id,Sub Category,Items_Category,Price,Discount,Rating,No_of_Review,BuyingProspect
"David’s Cookies Mile High Peanut Butter Cake, 6.8 lbs (14 Servings)",1,Bakery & Desserts,1,56.99,0,4.3,265,1139.5
"The Cake Bake Shop 8"" Round Carrot Cake (16-22 Servings)",2,Bakery & Desserts,1,159.99,0,5,1,5
"St Michel Madeleine, Classic French Sponge Cake 100 - count",3,Bakery & Desserts,1,44.99,0,4.1,441,1808.1
"David's Cookies Butter Pecan Meltaways 32 oz, 2-pack",4,Bakery & Desserts,1,39.99,0,4.7,9459,44457.3
"David’s Cookies Premier Chocolate Cake, 7.2 lbs (Serves 14)",5,Bakery & Desserts,1,59.99,0,4.5,758,3411
David's Cookies Mango & Strawberry Cheesecake 2-count (28 Slices Total),6,Bakery & Desserts,1,59.99,0,4.4,369,1623.6
"La Grande Galette French Butter Cookies, 1.3 lb, 6-pack",7,Bakery & Desserts,1,74.99,0,4.7,2241,10532.7
"David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)",8,Bakery & Desserts,1,59.99,0,4.4,232,1020.8
David's Cookies Brownie and Cookie Combo Pack,9,Bakery & Desserts,1,29.99,0,4.4,1679,7387.6
"The Cake Bake Shop 8"" Round Chocolate Cake (16-22 Servings)",10,Bakery & Desserts,1,159.99,0,5,2,10
"David's Cookies 10"" Rainbow Cake  (12 Servings)",11,Bakery & Desserts,1,62.99,0,4,357,1428
The Cake Bake Shop 2 Tier Special Occasion Cake (16-22 Servings),12,Bakery & Desserts,1,299.99,0,3,1,3
David's Cookies 90-piece Gourmet Chocolate Chunk Frozen Cookie Dough,13,Bakery & Desserts,1,54.99,0,4.7,273,1283.1
"David's Cookies Chocolate Fudge Birthday Cake, 3.75 lbs.  Includes Party Pack (16 Servings)",14,Bakery & Desserts,1,54.99,0,4.6,369,1697.4
Ferrara’s Bakery New York Cheesecake 2-pack,15,Bakery & Desserts,1,89.99,0,4.6,133,611.8
"David’s Cookies Variety Cheesecakes, 2-pack (28 Slices Total)",16,Bakery & Desserts,1,59.99,0,4.5,452,2034
"Classic Cake Tiramisu Quarter Sheet Cake (14 Pre-Cut Total Slices, 4.57 Oz. Per Slice, 4 Lbs. Total Box)",17,Bakery & Desserts,1,89.99,0,0,0,0
Mary Macleod's Gluten Free Shortbread Cookies Mixed Assortment 8-Pack ,18,Bakery & Desserts,1,49.99,0,4.2,85,357
"The Cake Bake Shop 8"" Round Pixie Fetti Cake (16-22 Servings)",19,Bakery & Desserts,1,159.99,0,1.5,2,3
"Classic Cake Chocolate Entremet Quarter Sheet Cake (14 Pre-Cut Total Slices, 4 Oz. Per Slice, 3.5 Lbs. Total Box)",20,Bakery & Desserts,1,89.99,0,0,0,0
"Ferrara’s Bakery 8 in. Tiramisu Cake, 2-pack",21,Bakery & Desserts,1,99.99,0,3.6,5,18
"Classic Cake Limoncello Quarter Sheet Cake (14 Pre-Cut Total Slices, 4 Oz. Per Slice, 3.5 Lbs Total Box)",22,Bakery & Desserts,1,89.99,0,3,2,6
deMilan Panettone Classico Tin Cake 2.2 lb Tin,23,Bakery & Desserts,1,24.99,0,4.7,687,3228.9
David’s Cookies Decadent Triple Chocolate made with mini Hershey’s Kisses and Reese’s Peanut Butter Cup Cookies Tin – 2 Count,24,Bakery & Desserts,1,39.99,0,4.3,845,3633.5
Ferrara's Bakery 4 lbs. Italian Cookie Pack,25,Bakery & Desserts,1,72.99,0,4.3,87,374.1
